code,label
3D,"3D - 3D Animation"
ACCT102,"ACCT102 - Partnership Accounting"
ACCT111,"ACCT111 - Management Consultancy with Feasibility Study"
ACCT131,"ACCT131 - Integration and Updates - Practical Accounting 1"
ACCT132,"ACCT132 - Integration and Updates - Practical Accounting 2"
ACCT133,"ACCT133 - Integration and Updates - Auditing"
ACCT134,"ACCT134 - Integration and Updates - Management Services"
ACCT135,"ACCT135 - Integration and Updates - Business Law and Taxation"
ACCT201A,"ACCT201A - Intermediate Accounting 1 (with Conceptual Framework)"
ACCT202,"ACCT202 - Intermediate Accounting 2 (Acctg Standards and Reporting)"
ACCT204,"ACCT204 - Intermediate Accounting 4 (Acctg Standards & Reporting)"
ACCT302,"ACCT302 - Prof Electives 2 - Valuation Concepts and Methods"
ACCT303,"ACCT303 - Prof Electives 4 - Updates on Financial Reporting Standards"
ACCT401,"ACCT401 - Auditing and Assurance 1 (Governance, Business Ethics, Risk Management and Internal Control)"
ACCT403,"ACCT403 - Auditing and Assurance 3 (Specialized Industries)"
ACCT502,"ACCT502 - Strategic Cost Management"
ACCT602,"ACCT602 - Advanced Accounting 2 (Acctg for Govt and Non Profit Orgs. and Business Combination Inc. Foreign Currency)"
ACCT701,"ACCT701 - Accounting Research Methods"
ACCT801,"ACCT801 - Strategic Business Analysis (Managerial Acctg)"
AGR101,"AGR101 - Fundamentals of Agribusiness"
AGRIB104,"AGRIB104 - Livestock and Poultry Production"
AGRIB105,"AGRIB105 - Food Processing Technology"
AGRIB109,"AGRIB109 - Aqua Culture Management"
AGRIB110,"AGRIB110 - Agribusiness Research Methods"
AGRIB112,"AGRIB112 - Fundamentals of Horticulture"
AGRIBEL1,"AGRIBEL1 - Elective 1"
AGRIBEL4,"AGRIBEL4 - Elective 4"
AGRIBEL5,"AGRIBEL5 - Elective 5"
AGRICPRAC,"AGRICPRAC - Internship"
AIS103,"AIS103 - Information Systems Operations and Maintenance"
AIS104,"AIS104 - Information Security and Management"
AIS105,"AIS105 - Data Warehousing and Management"
AIS106,"AIS106 - Auditing in a CIS Environment"
AIS107,"AIS107 - Enterprise Resource Planning and Management"
AIS108,"AIS108 - Management Information System"
AIS201,"AIS201 - Business Analytics 4"
AIS202,"AIS202 - Updates in Information Systems 1"
AIS701,"AIS701 - Accounting Research Methods"
ARTAP,"ARTAP - Art Appreciation"
BA102,"BA102 - Business Analytics 2"
BA103,"BA103 - Prof. Elective 2 - Business Analytics 3"
BA104,"BA104 - Prof. Elective 3 - Business Analytics 4"
BA105,"BA105 - Business Analytics 5"
BAPRAC,"BAPRAC - Practicum"
BBIO106A1,"BBIO106A1 - Chemical Biology 1 (Analytical Methods) Lecture"
BBIO106L1,"BBIO106L1 - Chemical Biology 1 (Analytical Methods) Laboratory"
BBIO109A,"BBIO109A - Chemical Biology 3 (Biomolecules) Lecture"
BBIO109L,"BBIO109L - Chemical Biology 3 (Biomolecules) Laboratory"
BBIO110A,"BBIO110A - Evolutionary Biology Lecture"
BBIO110L,"BBIO110L - Evolutionary Biology Laboratory"
BBIO111A,"BBIO111A - Genetics Lecture"
BBIO111L,"BBIO111L - Genetics Laboratory"
BBIO112A,"BBIO112A - Cell and Molecular Biology Lecture"
BBIO112L,"BBIO112L - Cell and Molecular Biology Laboratory"
BBIO114A,"BBIO114A - BioPhysics Lecture"
BBIO114L,"BBIO114L - BioPhysics Laboratory"
BBIO115,"BBIO115 - Developmental Biology"
BBIO118,"BBIO118 - Thesis 2"
BBIO119,"BBIO119 - Thesis 3"
BBIO201B,"BBIO201B - Invertebrate Zoology"
BBIO204,"BBIO204 - Genomics and Bioinformatics"
BBIO207A,"BBIO207A - Biotechnology Lec"
BBIO207L,"BBIO207L - Biotechnology Lab"
BBIO302,"BBIO302 - Human Anatomy & Physiology"
BBIO305A,"BBIO305A - Fundamentals of Genomics Lecture"
BBIO305L,"BBIO305L - Fundamentals of Genomics Laboratory"
BBIO306,"BBIO306 - Mathematical Tools for Biology (Calculus)"
BBIO308,"BBIO308 - Data Science"
BBIO404A,"BBIO404A - Microbial Ecology Lecture"
BBIO404L,"BBIO404L - Microbial Ecology Laboratory"
BLOGIC,"BLOGIC - Business Logic"
BMACRO,"BMACRO - Basic Macroeconomics"
BMGT1,"BMGT1 - Prin of Business Org & Mgt"
BMICRO,"BMICRO - Basic Micro Economics"
BSTAT,"BSTAT - Business Stat With Demo"
CC103,"CC103 - Computer Programming 2"
CC104,"CC104 - Data Structures and Algorithms"
CC106,"CC106 - Cloud Based Application Development"
CFP101,"CFP101 - Computer Fundamentals and Programming"
CFP101A,"CFP101A - Computer Programming"
CHM102E,"CHM102E - Analytical Chemistry (Lecture)"
CHM102EL,"CHM102EL - Analytical Chemistry (Laboratory)"
CHM103E,"CHM103E - Organic Chemistry (Lecture)"
CHM103EL,"CHM103EL - Organic Chemistry (Laboratory)"
COMELECT2,"COMELECT2 - Communication Elective 2"
COMELECT6,"COMELECT6 - SS/Humanities Electives 2"
COMELECT7,"COMELECT7 - SS/Humanities Electives 3"
COMELECT9,"COMELECT9 - SS/Humanities Electives 5"
COMLAW1,"COMLAW1 - Law on Obligations and Contracts"
COMLAW2,"COMLAW2 - Negotiable Instruments"
COMLAW4,"COMLAW4 - Sales, Agency and Credit Transactions"
COMM101A,"COMM101A - Introduction to Communication Media"
COMM102A,"COMM102A - Communication Theory"
COMM104A,"COMM104A - Risk Disaster and Humanitarian Communication"
COMM105A,"COMM105A - Journalism Principles and Practices"
COMM106A,"COMM106A - TV Principles and Practices"
COMM110A,"COMM110A - Communication Management"
COMM111A,"COMM111A - Communication Research"
COMM112A,"COMM112A - Communication Media Laws and Ethics"
COMM113A,"COMM113A - Knowledge Management"
COMM115A,"COMM115A - Thesis/Special Project 2"
COMMELECT3A,"COMMELECT3A - Communication Elective 3A"
COMMELECT3B,"COMMELECT3B - Communication Elective 3B"
CPETE302,"CPETE302 - Software Development 2"
CPETE401,"CPETE401 - Software Development 3"
CSE302A,"CSE302A - CS Elective 2 - Game Technologies"
CSE303A,"CSE303A - CS Elective 3 Machine Learning"
CSP205,"CSP205 - Applied Math for Games"
CSP206,"CSP206 - Analysis and Design of Algorithms"
CSP207A,"CSP207A - Comp. Org. w/ Microcontroller Prog."
CSP208,"CSP208 - Software Engineering"
CSP209A,"CSP209A - Game Prog1 - ntroduction to Game Design and Development"
CSP210A,"CSP210A - Usability, HCI and User Interaction Design"
CSP214,"CSP214 - Social Issues and Professional Practice"
CSP215A,"CSP215A - Web Development Technologies"
CSP216,"CSP216 - Programming Languages"
CSP217A,"CSP217A - Thesis 1"
CSP218A,"CSP218A - Internship"
CSP223,"CSP223 - Operating System"
CSP224A,"CSP224A - Information Assurance and Security"
CSP225,"CSP225 - Mobile-based Application Development"
CSP226,"CSP226 - Emerging Trends in Computing"
CTH103,"CTH103 - Philippine Tourism, Culture, and Geography"
CTH104,"CTH104 - Micro Perspective of Tourism and Hospitality"
CWRLD,"CWRLD - The Contemporary World"
DAFIL,"DAFIL - Dalumat ng Filipino"
DSTRUC,"DSTRUC - Data Structures and Algorithms"
EBRES100,"EBRES100 - Business Research"
ECED203,"ECED203 - Foundations of Early Childhood Education"
ECED204,"ECED204 - Play and Developmentally Appropriate Practices in Early Childhood Education"
ECED205,"ECED205 - Creative Arts, Music and Movement in Early Childhood Education"
ECED206,"ECED206 - Numeracy Development"
ECED210,"ECED210 - Literacy Development"
ECED211,"ECED211 - Social Studies for Early Childhood Education"
ECED212,"ECED212 - Technology for Teaching & Learning 2 (Utilization of Instructional Technology in Early Childhood Education)"
ECED213,"ECED213 - Science in Early Childhood Education"
ECHE101,"ECHE101 - Analytical Chemistry"
ECHE102B,"ECHE102B - Chemical Engineering Calculations 2"
ECHE104,"ECHE104 - Advanced Engineering Mathematics for ChE"
ECHE105C,"ECHE105C - Momentum Transfer"
ECHE108B,"ECHE108B - Methods of Research 2"
ECHE109L,"ECHE109L - Chemical Engineering Lab 1"
ECHE110,"ECHE110 - Chemical Process Industries"
ECHE111,"ECHE111 - Chemical Reaction Engineering"
ECHE112C,"ECHE112C - Particle Technology"
ECHE113C,"ECHE113C - Separation Process"
ECHE114C,"ECHE114C - Solution Thermodynamics"
ECHE115,"ECHE115 - Food Processing Technologies"
